5099323000373, 0.629167, 15.10, GROCERY, CANNED/BOTTLED/VEG, 0.75, SPAR PEAS PROCESSED, 0.0000, 5099323080863, N
9ÿ978, 0, 0.00, SPECIAL OFFER, SPECIAL OFFER, 0.00, LOOP LOOP 3 FOR1, 0.2300, , P
5000328633817, 1.49583, 17.95, CONFECTIONERY, CRISPS/SNACK FOODS, 3.05, WALKERS DORITOS DIP HOT, 0.2300, 5000328633824, I
5098974031101, 1.88, 1.88, LOTTERY, SCRATCH CARDS, 2.00, COOL CASH, 0.0000, , 0
9771468508063, 0.6537, 0.65, MAGAZINES/NEWSPAPERS, WEEKLY NEWSPAPERS, 0.95, MIRROR SAT, 0.0900, , I
9771741974516, 0.72, 0.72, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.10, ENGLISH INDO, 0.0900, , I
5390054004280, 2.51667, 15.10, FRUIT & VEG, PRE PACK, 3.49, S/GARDEN MUSHROOM STIRFRY, 0.0000, , I
000119, 0.177083, 8.50, FRUIT & VEG, FRUIT, 0.75, LIME, 0.0000, , N
5000165024014, 1.14, 1.14, DELI COUNTER , SLICED MEAT, 1.70, KERRYGOLD BUTTER, 0.0000, 5000165240100, I
3412290023800, 3.03, 3.03, DAIRY PRODUCTS, CHEESE, 3.60, EMMENTAL RE-SEALEBLE PACK, 0.0000, , I
000120, 1.7, 8.50, FRUIT & VEG, FRUIT, 2.50, MANGO., 0.0000, , N
9771649770036, 1.4475, 1.45, MAGAZINES/NEWSPAPERS, MISC. NEWSPAPERS, 2.20, BUY & SELL, 0.0900, , I
9770968336534, 1.9266, 1.93, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 2.80, RACING POST, 0.0900, , I
9771741974530, 0.66, 0.66, MAGAZINES/NEWSPAPERS, SUNDAY NEWSPAPERS, 1.00, ENGLISH INDEPENDENT, 0.0900, , I
8*2405, 0.377976, 31.75, GROCERY, CAKES, 0.65, C DE F PREM FRUIT SCONE, 0.1350, , I
8714789087375, 2.43083, 29.17, HEALTH & BEAUTY, DENTAL CARE, 4.20, COLG T PASTE WHITENING T, 0.2300, , I
8711000053850, 3.94, 23.64, GROCERY, COFFEE/TEA..ETC., 5.25, D EGBERT FILTER 100 EXTR, 0.0000, 8711000953853, I
5390152001013, 1.25, 12.50, CONFECTIONERY, CRISPS/SNACK FOODS, 2.10, OASIS FRUIT & NUT, 0.0000, , N
9771748898006, 0.4275, 0.43, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 0.65, REAL PEOPLE, 0.0900, , I
9771461263037, 7.2675, 7.27, MAGAZINES/NEWSPAPERS, COMPUTER MAGS, 11.00, WINDOWS XP, 0.0900, , I
5000301035362, 0.816667, 9.80, STATIONERY , STATIONERY MISC., 1.56, SELLO NOTE 3X3, 0.2300, , I
9771468508056, 0.6537, 0.65, MAGAZINES/NEWSPAPERS, MORNING DAILY NEWS, 0.95, DAILY MIRROR, 0.0900, , I
9770968336558, 1.9266, 1.93, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 2.80, RACING POST, 0.0900, , I
5011056041133, 1.466, 29.32, DAIRY PRODUCTS, CHEESE, 1.99, AVON CHED RED SLICES, 0.0000, , I
9771360242652, 0.66, 0.66, MAGAZINES/NEWSPAPERS, MORNING DAILY NEWS, 1.00, DAILY RECORD, 0.0900, , I
9771393956557, 1.0573, 1.06, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.60, IRISH EXAMINER, 0.0900, , I
5011054348104, 2.975, 29.75, TOBACCO , PIPE/CIG TOBACCO, 4.00, OLD HOLBORN YELLOW 125G, 0.2300, 5011054348111, I
9780955217005, 7.2675, 7.27, MAGAZINES/NEWSPAPERS, SPORT MAGS, 11.00, GEORGE BEST SPECIAL, 0.0900, , 0
5011069111076, 3.99, 3.99, DAIRY PRODUCTS, MEAT PROD./FRESH SNACKS, 4.99, DNY RASH TRAD CAP EXT, 0.0000, 5011069111083, I
5010933011238, 0.38375, 15.35, CONFECTIONERY, COUNT LINES, 0.90, CHEWITS FRUIT SALAD, 0.2300, 5010933092657, N
5010933012426, 0.3475, 13.90, CONFECTIONERY, COUNT LINES, 0.60, CHEWITS ORANGE, 0.2300, 5010933094361, I
5010933011207, 0.38375, 15.35, CONFECTIONERY, COUNT LINES, 0.90, CHEWITS STRAWBERRY, 0.2300, 5010933092626, N
5010933011221, 0.38375, 15.35, CONFECTIONERY, COUNT LINES, 0.90, CHEWITS BLACKCURRANT, 0.2300, 5010933092640, N
9770039519378, 0.9633, 0.96, MAGAZINES/NEWSPAPERS, SUNDAY NEWSPAPERS, 1.40, SUNDAY EXPRESS, 0.0900, , I
5011003015491, 15.5408, 186.49, FROZEN FOODS, FROZEN FISH, 17.25, D CATCH BBQ SALMON, 0.0000, 5011003015507, I
5000159375085, 1.86167, 11.17, GROCERY, SAUCE/GRAVY/STUFFING, 2.00, +UBEN RICE LG&BASM 2F2.0, 0.0000, 5000159375078, I
9771740851887, 1.9575, 1.96, MAGAZINES/NEWSPAPERS, ADULT, 2.85, ZOO, 0.0900, , I
5017375013813, 0, 0.00, CONFECTIONERY, COUNT LINES, 1.09, MILLIONS TUBES COLA, 0.2300, 5017375023812, I
9770307618932, 0.66, 0.66, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.00, IRISH NEWS, 0.0900, , I
9771353658033, 7.6275, 7.63, MAGAZINES/NEWSPAPERS, COMPUTER MAGS, 11.55, PC FORMAT CD, 0.0900, , I
5011054155207, 4.388, 43.88, TOBACCO , CIGS 20S, 6.80, MAYFAIR S KING SMTH 20 P, 0.2300, 5011054155214, I
5011056070843, 1.665, 9.99, DAIRY : DAIRY, MILK/CREAM/FR.SOUP, 2.15, SOUPERB CARROT&PARSNIP  , 0.0000, 5011056903264, I
408834104, 2.785, 16.71, HEALTH & BEAUTY, TOILETRIES/BABY CARE, 4.85, LYNX SHOWER GEL CLICK   , 0.2300, 8717163997451, I
9771741974554, 0.72, 0.72, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.10, ENGLISH INDO, 0.0900, , I
9770261307460, 1.185, 1.19, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.80, THE GUARDIAN SAT, 0.0900, , I
9771393956564, 1.1894, 1.19, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.80, IRISH EXAMINER SAT, 0.0900, , I
9771741974561, 1.185, 1.19, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.80, ENGLISH INDO SAT, 0.0900, , I
9770307618963, 0.66, 0.66, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.00, IRISH NEWS, 0.0900, , I
9770791757094, 2.61, 2.61, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 3.95, IMAGE, 0.0900, , I
8711500355287, 0.94, 0.94, HOUSE HOLD , BATTERIES/BULBS/ELECTRICA, 1.70, PHILIPS PEARL 60WBC, 0.2300, , I
8711500355126, 0.94, 0.94, HOUSE HOLD , BATTERIES/BULBS/ELECTRICA, 1.70, PHILIPS PEARL 100WBC, 0.2300, , I
8711500356208, 0.94, 0.94, HOUSE HOLD , BATTERIES/BULBS/ELECTRICA, 1.70, PHILIPS PEARL 40WBC, 0.2300, , I
4892812930349, 0.7, 0.70, GIFTS & FLOWERS, GIFTS, 2.00, WINE BAG, 0.2300, , I
9770307017919, 0.495, 0.50, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 0.75, DAILY EXPRESS, 0.0900, , I
9771468508018, 0.6537, 0.65, MAGAZINES/NEWSPAPERS, MORNING DAILY NEWS, 0.95, DAILY MIRROR, 0.0900, , I
9770261307811, 1.7202, 1.72, MAGAZINES/NEWSPAPERS, MORNING DAILY NEWS, 2.50, GUARDIAN, 0.0900, , I
9770307618918, 0.66, 0.66, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.00, IRISH NEWS, 0.0900, , I
9770307123016, 0.5925, 0.59, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 0.90, DAILY TELEGRAPH, 0.0900, , I
9770968336510, 1.9266, 1.93, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 2.80, RACING POST, 0.0900, , I
4100910016637, 1.25333, 15.04, DAIRY : DAIRY, YOGHURT, 2.00, DRINK FIT  YOGURT BL/CUR, 0.0000, , I
9770955034924, 1.215, 1.22, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 1.85, MORE, 0.0900, , I
9771471502041, 3.66, 3.66, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 5.55, EVE, 0.0900, , I
9770954875160, 4.29, 4.29, MAGAZINES/NEWSPAPERS, MUSIC, 6.50, GQ, 0.0900, , I
9770955017194, 3.2025, 3.20, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 4.85, MARIE CLAIRE, 0.0900, , I
9771746970025, 7.695, 7.70, MAGAZINES/NEWSPAPERS, CAR MAGS, 11.65, RADIO CONTROL BMW, 0.0900, , I
40883410, 2.39167, 14.35, HEALTH & BEAUTY, TOILETRIES/BABY CARE, 4.85, LYNX S/GEL CLICK, 0.2300, 8717163997451, I
5000168114262, 1.38167, 16.58, GROCERY, BISCUITS, 2.25, MCV BOASTER 33          , 0.1350, 5000168114286, I
5000157026538, 1.15667, 10.41, GROCERY, SOUP CANS, 1.70, W W INS SOUP VEGETABLE, 0.0000, 5000157057815, I
5099078002073, 1.78667, 21.44, GROCERY, DESSERTS, 2.60, S SOUTH DAIRY SPRAY CREAM, 0.0000, 5099078102070, I
4002359640261, 1.84667, 11.08, GROCERY, SAUCE/GRAVY/STUFFING, 2.65, DOL SAUCE POUCH ROAST VE, 0.0000, 4002359640964, I
5010034471504, 1.54, 9.24, GROCERY, PASTA/RICE, 2.25, DOL PASTA PCH CONCHIGLIE, 0.0000, 5010034951815, I
4002359646522, 1.875, 11.25, GROCERY, SAUCE/GRAVY/STUFFING, 2.80, UBEN ROGAN JOSH, 0.0000, 4002359646812, I
5011043272250, 1.67083, 20.05, GROCERY, CANNED FISH/MEAT/PASTA, 2.60, HANLEY CORNED BEEF, 0.0000, 5011043272113, I
5000147032921, 1.485, 8.91, GROCERY, SAUCE/GRAVY/STUFFING, 1.99, COL SAUCE MINT, 0.0000, 05000118048371, I
5000159343206, 0, 0.00, FROZEN FOODS, ICE CREAM, 1.60, MARS THIS MUCH FREE, 0.2300, 5000159343190, I
50749591, 0.633333, 3.80, GROCERY, BABY FOOD/NEEDS, 0.90, C&G RTD APPLE&ORANGE JUIC, 0.0000, 5000378999642, I
077315009059, 3.46417, 41.57, HEALTH & BEAUTY, TOILETRIES/BABY CARE, 4.92, DAX WAX BLUE SHORT&NEAT, 0.2300, 10077315009056, I
5000174496437, 3.735, 22.41, HEALTH & BEAUTY, HAIR CARE, 6.70, PANTENE MOUSSE SMOOTH&SL, 0.2300, 5000174496451, I
5011022018367, 0.8375, 20.10, HOUSE HOLD , CLEANERS, 1.40, KILLEEN KITCH MATE SCOUR, 0.2300, 05011022914966, I
5011022025464, 1.7975, 21.57, GROCERY, SAUCE/GRAVY/STUFFING, 2.20, GIO DI F PASTA SAUCE, 0.0000, 5011022925467, I
5011022015052, 1.9975, 23.97, HOUSE HOLD , HOUSHOLD MISC., 2.30, KILLEEN HDUTY REFUSE SACK, 0.2300, 5011022915055, I
5011022018671, 1.81833, 21.82, HOUSE HOLD , CLEANERS, 2.89, KILLEEN CLOTHES PEG, 0.2300, 05011022918667, I
5011022019128, 0.910417, 21.85, HOUSE HOLD , CLEANERS, 1.80, KILLEEN DUSTER YELLOW, 0.2300, 05011022919121, I
5011022017308, 1.01, 24.24, HOUSE HOLD , CLEANERS, 1.75, KILLEEN MOP UPS, 0.2300, 05011022917301, I
5011022018343, 0.650833, 15.62, HOUSE HOLD , CLEANERS, 1.15, EASI CLEAN GREEN FIBRE, 0.2300, 05011022914942, I
5011022017315, 0.85875, 20.61, HOUSE HOLD , CLEANERS, 1.60, KILLEEN SPONGE CLOTHS, 0.2300, , I
5011022018756, 1.258, 31.45, HOUSE HOLD , HOUSHOLD MISC., 2.35, KILLEEN REFUSE SACKS, 0.2300, 5011022918759, I
5011022015021, 1.49, 41.72, HOUSE HOLD , HOUSHOLD MISC., 2.50, KILLEEN PEDAL BIN LINER, 0.2300, 5011022915024, I
5011022017322, 0.673333, 16.16, HOUSE HOLD , CLEANERS, 1.80, KILLEEN WET N DRY, 0.2300, 05011022917325, I
5011022019104, 0.910417, 21.85, HOUSE HOLD , CLEANERS, 1.80, KILLEEN CLOTH STOCKINETT, 0.2300, 5011022919107, I
000123, 2.25, 2.25, TREEHOUSE, JUICES, 4.50, 5 A DAY NUTRI-FIX, 0.2300, , N
9771356743095, 4.26, 4.26, MAGAZINES/NEWSPAPERS, FITNESS, 6.45, MENS HEALTH, 0.0900, , I
50007820, 1.57167, 9.43, HEALTH & BEAUTY, TOILETRIES/BABY CARE, 2.45, ASTRAL CREAM, 0.2300, 5011784080695, I
5000336016350, 2.455, 29.46, HEALTH & BEAUTY, TOILETRIES/BABY CARE, 4.50, NIVEA TALC, 0.2300, 5000336100943, I
4008400836324, 0.2975, 8.33, CONFECTIONERY, COUNT LINES, 0.60, KINDER HAPPY HIPO COCOA, 0.2300, 04008400836300, I
5011022018985, 0.946, 9.46, HOUSE HOLD , CLEANERS, 1.90, KILLEEN CLOTH ALL PURPOSE, 0.2300, 05011022918988, I
5000167094299, 3.74167, 44.90, HEALTH & BEAUTY, MEDICINAL, 5.50, STREPSIL EX BLACKCURRANT, 0.0000, 05000167833782, N
5017375032753, 0.675, 8.10, CONFECTIONERY, COUNT LINES, 1.00, MILLIONS TUBES BLACKCURRA, 0.2300, 5017375132750, I
5017375013806, 0, 0.00, CONFECTIONERY, COUNT LINES, 1.00, MILLIONS TUBES STRAWBERRY, 0.2300, 5017375023805, I
8888056603961, 0.933, 27.99, GROCERY, INSTANT/SNACK MEALS, 1.17, KOKA NOODLES CURRY, 0.0000, 8888056603978, I
8888056604012, 0.933, 27.99, GROCERY, INSTANT/SNACK MEALS, 1.19, KOKA NOODLES MUSHROOM, 0.0000, 18888056604026, I
8888056603916, 0.933, 27.99, GROCERY, INSTANT/SNACK MEALS, 1.19, KOKA NOODLES BEEF, 0.0000, 18888056603920, I
8888056603862, 0.933, 27.99, GROCERY, INSTANT/SNACK MEALS, 1.19, KOKA NOODLES CHICKEN, 0.0000, 18888056603876, I
9771750161228, 0.8257, 0.83, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.20, IRISH DAILY MAIL, 0.0900, , I
5099507000212, 2, 2.00, DAIRY PRODUCTS, Sauces, 3.00, OLD MC DONNELLS HUMMUS, 0.0000, , I
5099507500019, 1.59167, 19.10, DAIRY : DAIRY, YOGHURT, 2.30, OLD MC DONNELL NATURAL Y, 0.0000, 5099507601006, I
5099507000014, 1.6, 1.60, HOUSE HOLD , PAPER PRODUCT, 0.95, OLD MCDONN YOG LIVE NAT, 0.0000, , I
5099507000045, 0.75, 0.75, DAIRY : DAIRY, YOGHURT, 0.95, OMD SBERRY YOGURT, 0.0000, , I
5099507000182, 0.45, 5.40, DAIRY : DAIRY, YOGHURT, 0.70, OLD MC DONNELL NAT YOGUR, 0.0000, , I
5099507000199, 0.45, 5.40, DAIRY : DAIRY, YOGHURT, 0.70, OLD MC DONNELL STRAWB YOGUR, 0.0000, , I
9771749999009, 0.4029, 0.40, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 0.65, LOVE IT, 0.0900, , I
5026309300103, 1.2, 1.20, STATIONERY , GREETING CARDS, 2.60, GIFT WRAP, 0.2300, , I
9771750161235, 0.8257, 0.83, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.20, IRISH DAILY MAIL, 0.0900, , I
5012179001547, 2.39167, 28.70, DAIRY PRODUCTS, YOGURTS/YOP, 3.19, IOM CHSE BLCK PEP PM 269, 0.0000, 5012179001561, I
5012179002117, 2.39188, 38.27, DAIRY PRODUCTS, YOGURTS/YOP, 3.19, IOM OAK SMOKED  50, 0.0000, 5012179111000, I
9770017208201, 3.8625, 3.86, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 5.85, GOOD HOUSEKEEPING, 0.0900, , I
9771470072019, 2.805, 2.81, MAGAZINES/NEWSPAPERS, SPORT MAGS, 4.25, IRISH ANGLER, 0.0900, , 0
9770966849937, 1.5525, 1.55, MAGAZINES/NEWSPAPERS, TV GUIDES, 2.35, INSIDE SOAP, 0.0900, , I
5010622009904, 2.36167, 28.34, HEALTH & BEAUTY, DENTAL CARE, 4.10, ORAL B ADV CTR 35T/BRUSH, 0.2300, , I
5011010291116, 1.09583, 13.15, GROCERY, CANNED/BOTTLED/VEG, 1.35, ROMA TOMATOES PEELED, 0.0000, 05011010012179, I
9771750161242, 0.8257, 0.83, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.20, IRISH DAILY MAIL, 0.0900, , I
9771748898013, 0.7875, 0.79, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 1.20, REAL PEOPLE, 0.0900, , I
5099323000489, 0.44, 21.12, DAIRY PRODUCTS, CHEESE, 1.00, SPAR MARGARINE          , 0.0000, 5011044000289, I
5251201902333, 15, 15.00, GIFTS & FLOWERS, SEASONAL, 30.00, BIG VALETINE BEAR, 0.2300, , I
5097758013906, 11.5, 11.50, GIFTS & FLOWERS, SEASONAL, 23.00, VALETINE LION, 0.2300, , I
5097758013890, 13.5, 13.50, GIFTS & FLOWERS, SEASONAL, 27.00, VALETINE GORILLA, 0.2300, , I
5097758013944, 5.5, 5.50, GIFTS & FLOWERS, SEASONAL, 11.00, SMALL VALETINE GORILLA, 0.2300, , I
5097758013852, 4, 4.00, GIFTS & FLOWERS, SEASONAL, 8.00, SMALL VALETINE GORILLA, 0.2300, , I
5251201902326, 9.5, 9.50, GIFTS & FLOWERS, SEASONAL, 19.00, VALETINE BEAR, 0.2300, , I
9771750161259, 0.8257, 0.83, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.20, IRISH DAILY MAIL, 0.0900, , I
5011039152368, 4.09167, 24.55, DAIRY PRODUCTS, YOGURTS/YOP, 5.50, YOP ESSENCE IMMUNITY BOO, 0.0000, 5011039156328, I
5011039152382, 4.09167, 24.55, DAIRY : DAIRY, YOGHURT, 5.50, YOP ESSENCE MULTI BOOST , 0.0000, 5011039156342, I
5011039152351, 4.09167, 24.55, DAIRY PRODUCTS, YOGURTS/YOP, 5.50, YOP ESSENCE LBP & CHOLES, 0.0000, 5011039156311, I
11000006, 2.22, 2.22, DELI CHERRYWOOD SELECTION, GOURMET SALADS, 3.50, GREEK SALAD, 0.0000, , 0
8004323110370, 0.9, 21.60, GROCERY, PASTA/RICE, 1.80, COLAVITA PENNE PASTA , 0.2300, , I
8004323212685, 1.4, 14.00, GROCERY, PASTA/RICE, 2.60, COLAVITA FETTUCCINE PASTA , 0.2300, , I
8004323933696, 1.55, 31.00, GROCERY, PASTA/RICE, 2.85, COLAVITA RADIATORI TRI PASTA 500G, 0.2300, , I
8004323110028, 1.3, 31.20, GROCERY, PASTA/RICE, 2.40, COLAVITA SPAGHETTINI PASTA , 0.2300, , I
8004323700069, 2, 24.00, GROCERY, SAUCE/GRAVY/STUFFING, 3.69, COLAVITA LA PASSATA TOMATO, 0.2300, , I
8004323700236, 1.55, 18.60, GROCERY, SAUCE/GRAVY/STUFFING, 2.85, COLAVITA ARRABBIATA SAUCE, 0.2300, , I
8004323700229, 1.55, 18.60, GROCERY, SAUCE/GRAVY/STUFFING, 2.85, COLAVITA BASIL SAUCE, 0.2300, , I
8001876043643, 4.25, 25.50, GROCERY, COOKING/OLIVE OIL, 7.50, COLAVITA BASIL OIL, 0.2300, , I
8001876550561, 3.2, 38.40, GROCERY, COOKING/OLIVE OIL, 3.99, BALSAMIC VINEGAR, 0.0000, , I
8001876071097, 4.5, 27.00, GROCERY, CANNED/BOTTLED/VEG, 7.90, COLAVITA HOT CHILI PEPERS, 0.2300, , I
8001876071035, 4.5, 27.00, GROCERY, CANNED/BOTTLED/VEG, 7.99, COLAVITA SUN D TOMATOES, 0.2300, , I
8001876071059, 4.5, 27.00, GROCERY, CANNED/BOTTLED/VEG, 7.95, COLAVITA PITTED OLIVES, 0.2300, , I
8001876071073, 4.5, 27.00, GROCERY, CANNED/BOTTLED/VEG, 7.95, COLAVITA PEPERONATA, 0.2300, , I
80479130, 2.8, 16.80, GROCERY, SAUCE/GRAVY/STUFFING, 4.90, COLAVITA RED PESTO, 0.2300, , I
80479116, 2.6, 15.60, GROCERY, SAUCE/GRAVY/STUFFING, 4.50, COLAVITA CAPERS, 0.2300, , I
8001876012144, 7, 42.00, GROCERY, COOKING/OLIVE OIL, 12.85, COLAVITA VIRGIN OLIVE, 0.2300, , I
5000159372749x1, 0.4675, 22.44, CONFECTIONERY, COUNT LINES, 1.00, SNICKERS, 0.2300, 5000159372732, I
50063239, 0, 0.00, CONFECTIONERY, COUNT LINES, 0.80, L O'BRIENS TRUFFLE EGG, 0.2300, , I
9770733889142, 4.3275, 4.33, MAGAZINES/NEWSPAPERS, ENTERTAINMENT, 6.55, VANITY FAIR, 0.0900, , I
9771750161365, 0.9633, 0.96, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.40, DAILY MAIL SAT, 0.0900, , I
3415581531152, 1.36667, 32.80, FROZEN FOODS, ICE CREAM, 2.30, H DAZS BAILEYS MCUP, 0.2300, 13415581531159, I
90000102, 2.99, 2.99, DELI CHERRYWOOD SELECTION, TAKE HOME FOOD, 4.99, Roast Beef & Horseradish, 0.0000, , I
5097758013876, 9.5, 9.50, GIFTS & FLOWERS, SEASONAL, 19.00, VALETINE BEAR, 0.2300, , I
9ÿ979, 0, 0.00, GROCERY, BREAD, 1.00, kohinoor save 1euro, 0.0000, , P
5391503160137, 17.5, 17.50, GIFTS & FLOWERS, FLOWERS, 24.99, FLOWERS MIX BOUQUET , 0.1350, , I
5391503160281, 24.1, 24.10, GIFTS & FLOWERS, FLOWERS, 34.99, FLOWERS MIX BOUQUET , 0.1350, , I
5391503160229, 10.2, 10.20, GIFTS & FLOWERS, FLOWERS, 14.99, FLOWERS MIX BOUQUET , 0.1350, , I
5391503160267, 18.55, 18.55, GIFTS & FLOWERS, FLOWERS, 26.99, FLOWERS MIX BOUQUET , 0.1350, , 0
5098974030203, 1.88, 1.88, LOTTERY, SCRATCH CARDS, 2.00, CADDY CASH, 0.0000, , 0
5026309001680, 1.8, 1.80, STATIONERY , GREETING CARDS, 3.55, CONNECTION CARD S, 0.2300, , I
5026309001741, 2.94, 2.94, STATIONERY , GREETING CARDS, 5.80, CONNECTION CARD B, 0.2300, , I
000126, 0.5, 0.50, TREEHOUSE, PROTEIN, 1.00, PROTEIN FOR AN EXTRA, 0.2300, , N
000127, 0.916667, 22.00, DELI COUNTER , CONFECTION, 1.50, STRAWBERRY WINDMILL , 0.1350, , 0
000128, 28, 1008.00, GIFTS & FLOWERS, FLOWERS, 42.00, VALENTINE BOUQUET, 0.1350, , I
9770163705104, 2.82, 2.82, MAGAZINES/NEWSPAPERS, GENERAL INTEREST, 4.10, NEWSWEEK, 0.0900, , I
9770928843041, 2.64, 2.64, MAGAZINES/NEWSPAPERS, GENERAL INTEREST, 4.00, TIME, 0.0900, , I
5391503160304, 11, 11.00, GIFTS & FLOWERS, FLOWERS, 15.99, FLOWERS MIX BOUQUET , 0.1350, , I
4100910016644, 1.25333, 15.04, DAIRY : DAIRY, YOGHURT, 2.00, DRINK FIT YOG PEACH/MANGO, 0.0000, , I
2040177, 1.58667, 9.52, RAW MEAT, BEEF PRE PACK, 6.99, TENDERLEAN SIRLOIN STEAK, 0.0000, , I
50237111, 0.825, 9.90, CONFECTIONERY, COUNT LINES, 1.50, KP DIPS WHITE CHOCOLATE., 0.2300, 5000237022368, I
3068320052007, 1.275, 7.65, DRINKS , WATER, 2.50, EVIAN MINERAL WATER, 0.2300, 03068320052021, N
80111351, 1.035, 20.70, FROZEN FOODS, STICK, 2.10, HB MAGNUM MINT, 0.2300, 8000920817414, I
9822565410008, 0.65, 0.65, DRINKS , PET/GLASS BOTTLES, 1.35, FREE COKE, 0.2300, , M
5012179002162, 2.39167, 28.70, DAIRY PRODUCTS, YOGURTS/YOP, 3.19, IOM CHEDDAR GARLIC/CHIVE, 0.0000, 5012179111055, I
4011100024397, 0, 0.00, FROZEN FOODS, ICE CREAM, 1.70, GALAXY  ICE CRM STD, 0.2300, 4011100024397, I
9770309809123, 2.97, 2.97, MAGAZINES/NEWSPAPERS, FITNESS, 4.50, WEIGHT WATCHERS, 0.0900, , I
5011003031897, 1.33083, 15.97, FROZEN FOODS, FROZEN VEGETABLES, 2.05, G ISLE STEAKHOUSE FRIES , 0.0000, , I
5034045002427, 1.59, 1.59, DAIRY PRODUCTS, MEAT PROD./FRESH SNACKS, 1.99, T/L PEPPERED STEAKBURGER, 0.0000, , I
5034045002502, 1.75, 3.50, DAIRY PRODUCTS, MEAT PROD./FRESH SNACKS, 2.49, TENDERLEAN PORK&GARLIC SAUSAGES, 0.0000, , I
9311043076671, 5.75, 69.00, OFF LICENCE, WINES, 14.39, HARDYS MILL CEL SHIRAZ CA, 0.2300, 19311043076678, I
9311043076756, 9.05, 108.60, OFF LICENCE, WINES, 12.99, HARDYS MILL CEL CAB MERL, 0.2300, 19311043076753, I
5000204891775, 1.75, 21.00, HOUSE HOLD , CLEANERS, 3.20, MR MUSCLE KITCHEN LEMON, 0.2300, 5000204205060, I
9770791627045, 2.97, 2.97, MAGAZINES/NEWSPAPERS, GARDENING MAGS, 4.50, THE IRISH GARDEN, 0.0900, , I
9771359804076, 4.5525, 4.55, MAGAZINES/NEWSPAPERS, COMPUTER MAGS, 6.90, PC ADVISOR, 0.0900, , I
9907750050891, 0.65, 0.65, DRINKS , PET/GLASS BOTTLES, 1.35, FREE COKE, 0.2300, , I
5000159372336, 0.597187, 19.11, CONFECTIONERY, COUNT LINES, 1.30, SNICKERS DUO, 0.2300, 5000159372312, I
3014260293260, 2.3075, 55.38, HEALTH & BEAUTY, SHAVING GEAR, 4.00, GIL BLUE II FOR WOMEN, 0.2300, 3014260684907, I
4002359646515, 1.875, 11.25, GROCERY, SAUCE/GRAVY/STUFFING, 2.80, UBEN HOI SIN            , 0.0000, 4002359646928, I
5098807057766, 1.22074, 32.96, DELI COUNTER , FRENCH BREAD, 1.99, CDF HOT CROSS BUN MINI, 0.1350, 5098807057759, I
5011021403010, 2.36, 47.20, GROCERY, BISCUITS, 3.25, JAC ELITE CHOC DREAMS, 0.2300, 5011021303013, I
9771466608079, 1.7175, 1.72, MAGAZINES/NEWSPAPERS, TV GUIDES, 2.60, SOAPLIFE, 0.0900, , I
9771749999016, 0.7438, 0.74, MAGAZINES/NEWSPAPERS, WOMEN'S MAGS, 1.00, LOVE IT, 0.0900, , I
9770968336527, 1.9266, 1.93, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 2.80, 2.80RACING POST, 0.0900, , I
9771741974523, 0.855, 0.86, MAGAZINES/NEWSPAPERS, SUNDAY NEWSPAPERS, 1.30, ENGLISH INDEPENDENT, 0.0900, , I
9771360242621, 0.66, 0.66, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.00, DAILY RECORD, 0.0900, , I
9770261307828, 1.7202, 1.72, MAGAZINES/NEWSPAPERS, DAILY PAPERS, 2.50, THE GUARDIAN, 0.0900, , I
9771393955321, 1.0573, 1.06, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.60, IRISH EXAMINER, 0.0900, , I
9770307618925, 0.66, 0.66, MAGAZINES/NEWSPAPERS, EVENING DAILY NEWS, 1.00, IRISH NEWS, 0.0900, , I
